01:48.328  render           | Fra: 49 | Rendering 25 / 64 samples
01:48.750  render           | Fra: 49 | Rendering 50 / 64 samples
01:48.937  render           | Fra: 49 | Rendering 64 / 64 samples
01:49.203  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0049.png'
01:49.203  render           | Time: 00:01.48 (Saving: 00:00.19)
01:49.203  render           | Rendering frame 50
01:49.203  render           | Start rendering: Scene, ViewLayer
01:49.203  render           | Engine: EEVEE
01:49.406  render           | Fra: 50 | Rendering 1 / 64 samples
01:49.797  render           | Fra: 50 | Rendering 25 / 64 samples
01:50.172  render           | Fra: 50 | Rendering 50 / 64 samples
01:50.343  render           | Fra: 50 | Rendering 64 / 64 samples
01:50.734  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0050.png'
